hccnmC9ZPwr,121207,"Asile De Sigueneau","[-72.60809,18.51371]","Hopital universitaire",Ouest,UAS-Leogane,Leogane,2eme-Petite-Riviere,Gouvernement/Public
FJBdXncrcPi,711104,"Cite Lumiere","[-73.76136,18.22852]","Hopital universitaire",Sud,UAS-Les-Cayes,"Les Cayes",1ere-Bourdet,"Mission / Faith-based"
joPilj7X3lg,112106,"Hopital De Delmas 33","[-72.29836,18.55645]","Hopital universitaire",Ouest,UAS-Port-Au-Prince,Delmas,1ere-Saint-Martin,Gouvernement/Public
Cj1QxoeCfZz,112117,"Hopital Isaie Jeanty","[-72.3354,18.56426]",Gouvernement/Public,Ouest,UAS-Port-Au-Prince,Delmas,1ere-Saint-Martin,"Hopital universitaire"
hi6oTO4jF3a,311200,"Hopital Justinien","[-72.20621,19.76279]","Hopital universitaire",Nord,UAS-Cap-Haitien,Cap-Haitien,2eme-Haut-Du-Cap,Gouvernement/Public
c9qDR5AWqzQ,621308,"Hopital Universitaire De Mirebalais","[-72.11669,18.83597]","Hopital universitaire",Centre,UAS-Mirebalais,Mirebalais,3eme-Grand-Boucan,Gouvernement/Public
QvZmtbaB5f6,111600,HUEH,"[-72.34021,18.53976]","Hopital universitaire",Ouest,UAS-Port-Au-Prince,Port-Au-Prince,6eme-Turgeau,Gouvernement/Public
